1,1/1/16
2,1/1/16
14,1/1/16
15,1/1/16
16,1/1/16
17,1/1/16
19,1/1/16
21,1/1/16
22,1/1/16
23,1/1/16
24,1/1/16
34,1/1/17
39,1/1/16
40,1/1/16
41,1/1/16
42,1/1/16
45,1/1/16
46,1/1/16
47,1/1/16
48,1/1/16
49,1/1/16
51,1/1/17
52,1/1/17
53,1/1/17
54,1/1/17
56,1/1/17
57,1/1/17
58,1/1/17
59,1/1/17
61,3/28/17
62,1/1/17
63,1/1/17
64,1/1/17
65,1/1/17
66,1/1/17
69,1/1/17
70,1/1/17
71,1/1/17
72,1/1/17
73,1/1/17
74,1/1/17
75,3/28/17
76,3/28/17
77,1/1/19
78,1/1/19
79,1/1/19
80,1/1/19
200,1/1/16
201,1/1/16
202,1/1/16
203,1/1/16
204,1/1/16
205,1/1/16
206,1/1/16
207,1/1/16
208,1/1/16
209,1/1/16
210,1/1/16
211,1/1/16
212,1/1/16
213,1/1/16
214,1/1/16
215,1/1/16
216,1/1/16
217,1/1/16
218,1/1/16
219,1/1/16
220,1/1/16
221,1/1/16
222,1/1/16
223,1/1/16
224,1/1/16
225,1/1/16
226,1/1/16
227,1/1/16
228,1/1/16
229,1/1/16
230,1/1/16
231,1/1/16
232,1/1/16
233,1/1/16
234,1/1/16
235,1/1/16
236,1/1/16
237,1/1/16
238,1/1/16
239,1/1/16
240,1/1/16
241,1/1/16
242,1/1/16
243,1/1/16
244,1/1/16
245,1/1/16
246,1/1/16
247,1/1/16
249,1/1/16
250,1/1/16
251,1/1/16
252,1/1/16
253,1/1/16
254,1/1/16
255,1/1/16
256,1/1/16
257,1/1/16
258,1/1/16
259,1/1/16
260,1/1/16
261,1/1/16
262,1/1/16
263,1/1/16
265,1/1/16
266,1/1/16
267,1/1/16
268,1/1/16
269,1/1/16
270,1/1/16
271,1/1/16
272,1/1/16
273,1/1/16
274,1/1/16
275,1/1/16
276,1/1/16
277,1/1/16
278,1/1/16
279,1/1/16
280,1/1/16
281,1/1/16
282,1/1/16
283,1/1/16
284,1/1/16
285,1/1/16
286,1/1/16
287,1/1/16
288,1/1/16
289,1/1/16
290,1/1/16
291,1/1/16
292,1/1/16
293,1/1/16
294,1/1/16
295,1/1/16
296,1/1/16
297,1/1/16
298,1/1/16
299,1/1/16
300,1/1/16
301,1/1/16
302,1/1/16
303,1/1/16
304,1/1/16
305,1/1/16
306,1/1/16
307,1/1/16
308,1/1/16
309,1/1/16
310,1/1/16
311,1/1/16
312,1/1/16
313,1/1/16
314,1/1/16
315,1/1/16
316,1/1/16
317,1/1/16
318,1/1/16
319,1/1/16
320,1/1/16
321,1/1/16
322,1/1/16
323,1/1/16
324,1/1/16
325,1/1/16
326,1/1/16
327,1/1/16
328,1/1/16
329,1/1/16
330,1/1/16
331,1/1/16
332,1/1/16
333,1/1/16
334,1/1/16
335,1/1/16
336,1/1/16
337,1/1/16
338,1/1/16
339,1/1/16
340,1/1/16
341,1/1/16
342,1/1/16
343,1/1/16
344,1/1/16
345,1/1/16
346,1/1/16
347,1/1/16
348,1/1/16
349,1/1/16
350,1/1/16
