9600,IssuedCapital,Equity,ComponentsOfEquityAxis,IssuedCapitalMember,1
9601,RetainedEarnings,Equity,ComponentsOfEquityAxis,RetainedEarningsMember,1
9602,SharePremium,Equity,ComponentsOfEquityAxis,SharePremiumMember,1
9603,TreasuryShares,Equity,ComponentsOfEquityAxis,TreasurySharesMember,-1
9604,OtherEquityInterest,Equity,ComponentsOfEquityAxis,OtherEquityInterestMember,1
9605,OtherReserves,Equity,ComponentsOfEquityAxis,OtherReservesMember,1
9606,EquityAttributableToOwnersOfParent,Equity,ComponentsOfEquityAxis,EquityAttributableToOwnersOfParentMember,1
9607,NoncontrollingInterests,Equity,ComponentsOfEquityAxis,NoncontrollingInterestsMember,1
9608,RevaluationSurplus,Equity,ComponentsOfEquityAxis,RevaluationSurplusMember,1
9609,ReserveOfExchangeDifferencesOnTranslation,Equity,ComponentsOfEquityAxis,ReserveOfExchangeDifferencesOnTranslationMember,1
9610,ReserveOfCashFlowHedges,Equity,ComponentsOfEquityAxis,ReserveOfCashFlowHedgesMember,1
9611,ReserveOfGainsAndLossesOnRemeasuringAvailableforsaleFinancialAssets,Equity,ComponentsOfEquityAxis,ReserveOfGainsAndLossesOnRemeasuringAvailableforsaleFinancialAssetsMember,1
9612,ReserveOfSharebasedPayments,Equity,ComponentsOfEquityAxis,ReserveOfSharebasedPaymentsMember,1
9613,AmountRecognisedInOtherComprehensiveIncomeAndAccumulatedInEquityRelatingToNoncurrentAssetsOrDisposalGroupsHeldForSale,Equity,ComponentsOfEquityAxis,AmountRecognisedInOtherComprehensiveIncomeAndAccumulatedInEquityRelatingToNoncurrentAssetsOrDisposalGroupsHeldForSaleMember,1
9614,ReserveOfGainsAndLossesFromInvestmentsInEquityInstruments,Equity,ComponentsOfEquityAxis,ReserveOfGainsAndLossesFromInvestmentsInEquityInstrumentsMember,1
9615,ReserveOfChangeInFairValueOfFinancialLiabilityAttributableToChangeInCreditRiskOfLiability,Equity,ComponentsOfEquityAxis,ReserveOfChangeInFairValueOfFinancialLiabilityAttributableToChangeInCreditRiskOfLiabilityMember,1
9616,ReserveForCatastrophe,Equity,ComponentsOfEquityAxis,ReserveForCatastropheMember,1
9617,ReserveForEqualisation,Equity,ComponentsOfEquityAxis,ReserveForEqualisationMember,1
9618,ReserveOfDiscretionaryParticipationFeatures,Equity,ComponentsOfEquityAxis,ReserveOfDiscretionaryParticipationFeaturesMember,1
9619,ReserveOfRemeasurementsOfDefinedBenefitPlans,Equity,ComponentsOfEquityAxis,ReserveOfRemeasurementsOfDefinedBenefitPlansMember,1
9620,ReserveOfChangeInValueOfTimeValueOfOptions,Equity,ComponentsOfEquityAxis,ReserveOfChangeInValueOfTimeValueOfOptionsMember,1
9621,ReserveOfChangeInValueOfForwardElementsOfForwardContracts,Equity,ComponentsOfEquityAxis,ReserveOfChangeInValueOfForwardElementsOfForwardContractsMember,1
9622,ReserveOfChangeInValueOfForeignCurrencyBasisSpreads,Equity,ComponentsOfEquityAxis,ReserveOfChangeInValueOfForeignCurrencyBasisSpreadsMember,1
9623,ReserveOfGainsAndLossesOnHedgingInstrumentsThatHedgeInvestmentsInEquityInstruments,Equity,ComponentsOfEquityAxis,ReserveOfGainsAndLossesOnHedgingInstrumentsThatHedgeInvestmentsInEquityInstrumentsMember,1
